name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_2000-2009,sr_2010-2019,sr_2020-2029,model,target,pooled,lag,blend,cost_mult
trend_multi_ewmac,2005-01-03,2024-03-28,19.3,0.0526641268396058,0.03826125660230573,0.1734708276572736,0.3035906817926432,0.3586834020491533,-0.46922040162651224,0.0815421845888976,-0.5357674332460055,1.3340564882364478,0.5145910398684751,6.575456600151917,0.014299706149443085,0.3859406837952042,0.494397326229924,1.0,XTIUSD,fut,0.9635346264587425,0.1799620978057245,0.82,-0.03,0.35,trend,,,1,0.0,1.0
trend_multi_ewmac,2005-01-04,2024-03-28,19.7,0.07955984147522031,0.06444894906287035,0.18479907647100813,0.4305207742079919,0.5320934158994871,-0.4235798230868061,0.1521530194549955,-0.09620344935071959,1.9100057754029047,0.5110887096774194,6.127012857410708,0.013347195274651428,0.5026055237311631,0.4577865388549359,1.0,XBRUSD,fut,0.3329151685124003,0.44635143495474144,0.49,0.4,0.43,trend,,,1,0.0,1.0
trend_multi_ewmac,2005-01-03,2024-03-28,19.2,0.08232047158364322,0.06491303997324849,0.19693585696063276,0.4180065167111695,0.5369843887612172,-0.4474466902320795,0.1450743549797624,-0.16774302626161605,1.8332398618152936,0.5131008871466887,4.292818430982235,0.013913283181429004,0.48864209932802966,0.3836668546286833,1.0,XNGUSD,fut,0.23541579729142043,0.4536730800851559,0.45,0.15,0.84,trend,,,1,0.0,1.0
trend_multi_ewmac,2005-01-03,2024-03-28,19.7,0.07580089008023724,0.06851438560619805,0.1379194972740336,0.549602424446398,0.7060794488476286,-0.3290974754254453,0.20818873045934225,-0.24398760597645378,2.441504893481198,0.5188015282525639,,,,,,PORT,fut,0.6979491746521926,0.5234658748051532,0.71,0.29,0.84,trend,,,1,0.0,1.0
trend_multi_ewmac,2005-01-03,2024-03-28,19.3,0.052461032184651556,0.03764064189224636,0.17576581915509484,0.29847118419742474,0.3526579419451574,-0.48692002805727097,0.07730354005446478,-0.4458241184900031,1.3115600830665526,0.5145910398684751,6.573560806296339,0.014294748968187259,0.3797201477606703,0.4942738977335344,1.0,XTIUSD,fut,0.9629609032716103,0.17572710380436415,0.8,-0.05,0.4,trend,,,2,0.0,1.0
trend_multi_ewmac,2005-01-04,2024-03-28,19.7,0.07730876764021505,0.06162440834723171,0.18704252824374176,0.4133218705185125,0.5106758796308288,-0.43069632869064,0.14308087680843737,-0.005491671811327639,1.833702824777731,0.5137096774193548,6.12556194530113,0.013334908219735155,0.48448886096943283,0.4576352763200703,1.0,XBRUSD,fut,0.33391126008156513,0.42628888123992414,0.48,0.4,0.39,trend,,,2,0.0,1.0
trend_multi_ewmac,2005-01-03,2024-03-28,19.2,0.08036448875716315,0.06258152074368972,0.19807145191515976,0.4057348395244045,0.5170609743253223,-0.4645727805368931,0.1347076784639989,-0.23526033709346925,1.77942029946227,0.5124819475964514,4.293101313569042,0.013893356708847332,0.4758343025148881,0.38357635815047314,1.0,XNGUSD,fut,0.21730445293524228,0.44256799954186316,0.44,0.13,0.83,trend,,,2,0.0,1.0
trend_multi_ewmac,2005-01-03,2024-03-28,19.7,0.07483334619895819,0.06723018762243305,0.13962502269160199,0.5359594201409514,0.6866658788406954,-0.3389236085461793,0.19836383753500825,-0.20638034259395555,2.3808984254382586,0.519605871707219,,,,,,PORT,fut,0.6858550184327898,0.5098110604118731,0.69,0.28,0.84,trend,,,2,0.0,1.0
lr_y1_per_instr,2005-01-03,2024-03-28,19.3,-0.004823135712941042,-0.018267271544677333,0.1645917976497546,-0.029303621333576422,-0.0345464875844653,-0.6826960147886056,-0.026757548233724095,-0.6476232555487464,-0.12876774062381297,0.49743062692702983,96.97251246299588,0.04097820572797769,0.21972723090082533,0.48668270725975543,0.9997944923962186,XTIUSD,fut,0.41148043231937426,-0.10707596624922117,0.21,-0.38,0.41,lr,y1,False,1,0.0,1.0
lr_y1_per_instr,2005-01-04,2024-03-28,19.7,0.04745614921151741,0.03594817308203413,0.15556106515492973,0.30506443989859455,0.37750530040329766,-0.46527011821959063,0.07726301706112984,-0.4457824974300168,1.3534186431497677,0.490219802379512,83.69582574382751,0.03970712873493547,0.5600216797984712,0.43176845543676484,0.9997983870967742,XBRUSD,fut,0.4420884361455313,0.2806659800135282,0.48,0.27,0.19,lr,y1,False,1,0.0,1.0
lr_y1_per_instr,2005-01-03,2024-03-28,19.2,-0.00835330747036203,-0.01983116794378359,0.15279243816187932,-0.05467094818862655,-0.07058666948975456,-0.6929843500563228,-0.028617050215018276,0.011600767847708379,-0.23976889712435126,0.46884028064383,69.5933322271273,0.07674278055305686,0.44763747935665854,0.29462843737278793,0.9997936868165875,XNGUSD,fut,0.9443060653559721,-0.26012524487289107,0.6,-0.6,0.16,lr,y1,False,1,0.0,1.0
lr_y1_per_instr,2005-01-03,2024-03-28,19.7,0.012246031218137785,0.0060176112168586204,0.11173654466604153,0.10959736811925547,0.14248994661846012,-0.4746688561153304,0.012677493244672704,-0.1275407830816943,0.4868655935158078,0.5042236524537409,,,,,,PORT,fut,0.8042183042741097,-0.02637696688342142,0.52,-0.3,0.44,lr,y1,False,1,0.0,1.0
lr_y1_per_instr,2005-01-03,2024-03-28,19.3,0.006717242732684638,-0.007205907987699933,0.16677814061265364,0.04027651770195472,0.048549302120938054,-0.6818494469510883,-0.010568180439129755,-0.3611998024480631,0.17698550379277447,0.5034950657894737,96.95321133452865,0.04198460092305954,0.2919978722161413,0.48643340946593316,0.9995889847924373,XTIUSD,fut,-0.2154652827568702,0.08620457230226418,-0.28,-0.16,0.78,lr,y1,False,2,0.0,1.0
lr_y1_per_instr,2005-01-04,2024-03-28,19.7,-0.014417776674657518,-0.02590665851014029,0.15358478048264027,-0.0938750352043324,-0.1168116649250604,-0.7865040887323239,-0.03293900042134081,-0.39704405038049445,-0.4164766723191901,0.4870915691811214,83.68303090965351,0.04014617250220602,0.16755371514563763,0.43159038549757567,0.9995967741935484,XBRUSD,fut,-0.29194657018474807,-0.05850156951462597,-0.3,-0.38,0.76,lr,y1,False,2,0.0,1.0
lr_y1_per_instr,2005-01-03,2024-03-28,19.2,-0.08562156191624297,-0.09272926819939875,0.15254772545498474,-0.5612772111866657,-0.6946269275063448,-0.913287610505267,-0.10153347875604843,-0.4203742006509416,-2.4615782671802107,0.4633642930856553,69.58092729702769,0.07695710932925726,-0.05685659935728824,0.29461960782843727,0.9995873736331752,XNGUSD,fut,-0.16716319066499427,-0.6486757804970759,-0.13,-1.18,0.1,lr,y1,False,2,0.0,1.0
lr_y1_per_instr,2005-01-03,2024-03-28,19.7,-0.03117480971109227,-0.03690852010299184,0.11331702270738514,-0.27511144368480245,-0.36348479997678396,-0.8105413630986984,-0.04553564047847061,-0.2395086866882902,-1.2221305913737484,0.484007242003621,,,,,,PORT,fut,-0.24493217777483556,-0.28124862779711446,-0.41,-0.77,0.93,lr,y1,False,2,0.0,1.0
lr_y1_per_instr,2005-01-03,2024-03-28,19.3,0.03258829201825374,0.024100420794635813,0.13218543251363624,0.24653467026248851,0.28811439933012667,-0.48182543038384984,0.05001898877657004,-0.687366436089628,1.0833375204300357,0.5110974106041923,44.99350887804208,0.02262241377290269,0.4176111945296047,0.3721260441200804,0.9997944923962186,XTIUSD,fut,1.0138270480557487,0.11594904045849913,0.75,-0.18,0.5,lr,y1,False,1,0.5,1.0
